DataDate,Actual,Predicted,Positive Actual signal,Negative Actual signal,Positive Predicted signal,Negative Predicted signal,Actual Signal,LSTM Predicted Signal
2019-07-12,-0.1811777057754204,0.030887708,0,-1,1,0,-1,1
2019-07-15,1.1158383690984488,0.08381545,1,0,1,0,1,1
2019-07-16,0.0724626404329673,-0.058286045,1,0,0,-1,1,-1
2019-07-17,-0.45779426885704755,-0.21160722,0,-1,0,-1,-1,-1
2019-07-18,-0.25031433051254126,-0.087096654,0,-1,0,-1,-1,-1
2019-07-19,0.2689136725631795,0.0967831,1,0,1,0,1,1
2019-07-22,0.10508612829904292,0.1787586,1,0,1,0,1,1
2019-07-23,0.002733110566385964,0.17267053,1,0,1,0,1,1
2019-07-24,0.10928347336304671,0.15109251,1,0,1,0,1,1
2019-07-25,-0.2841305214434397,0.12126192,0,-1,1,0,-1,1
2019-07-26,0.08041137871581312,0.08292648,1,0,1,0,1,1
2019-07-29,0.11800765138474238,0.10515519,1,0,1,0,1,1
2019-07-30,0.22444819533749852,0.114186496,1,0,1,0,1,1
2019-07-31,0.01983668353416654,0.10599066,1,0,1,0,1,1
2019-08-01,-0.3486381785800554,0.090766065,0,-1,1,0,-1,1
2019-08-02,0.34091561791171626,0.09368223,1,0,1,0,1,1
2019-08-05,0.3754914193564062,0.090701506,1,0,1,0,1,1
2019-08-06,-0.1230423025968057,-0.04864119,0,-1,0,-1,-1,-1
2019-08-07,-0.11666096604894785,-0.02658578,0,-1,0,-1,-1,-1
2019-08-08,-0.36435124085138965,0.078279115,0,-1,1,0,-1,1
2019-08-09,-0.013971657582537865,0.1878083,0,-1,1,0,-1,1
2019-08-12,1.159153822092529,0.2302713,1,0,1,0,1,1
2019-08-13,-0.3113879793764814,0.020785827,0,-1,1,0,-1,1
2019-08-14,0.27048268113753116,0.03224512,1,0,1,0,1,1
2019-08-15,-0.4718981936146653,-0.034691755,0,-1,0,-1,-1,-1
2019-08-16,0.05732983146634691,0.068094425,1,0,1,0,1,1
2019-08-19,0.1275515092059529,0.1344565,1,0,1,0,1,1
2019-08-20,0.6811188993140073,0.15466282,1,0,1,0,1,1
2019-08-21,0.29412238201429236,0.056682214,1,0,1,0,1,1
2019-08-22,-0.5076664211347994,-0.03223459,0,-1,0,-1,-1,-1
2019-08-23,0.9707562578840377,0.039056193,1,0,1,0,1,1
2019-08-26,-0.4121474227652594,-0.010102292,0,-1,0,-1,-1,-1
2019-08-27,-0.1774715716911601,0.05547541,0,-1,1,0,-1,1
2019-08-28,0.363714123012062,0.12327904,1,0,1,0,1,1
2019-08-29,0.4842904110236177,0.12663391,1,0,1,0,1,1
2019-08-30,-0.36306874084914637,0.040025078,0,-1,1,0,-1,1
2019-09-04,-0.30589954214685156,0.059070382,0,-1,1,0,-1,1
2019-09-05,-0.099032560398295,0.13420992,0,-1,1,0,-1,1
2019-09-06,0.08152185234347027,0.18079525,1,0,1,0,1,1
2019-09-09,0.3397827912335443,0.18078263,1,0,1,0,1,1
2019-09-10,0.576900063118638,0.11728455,1,0,1,0,1,1
2019-09-11,0.017967266695382463,0.031141065,1,0,1,0,1,1
2019-09-12,-0.6169527553696658,-0.031774674,0,-1,0,-1,-1,-1
2019-09-13,1.3345139430222481,0.060071543,1,0,1,0,1,1
2019-09-16,-0.2922584983273545,-0.14526318,0,-1,0,-1,-1,-1
2019-09-17,0.2952422415885381,-0.0658691,1,0,0,-1,1,-1
2019-09-18,-0.11253674097578342,0.044844896,0,-1,1,0,-1,1
2019-09-19,-0.5538920920594241,0.12549314,0,-1,1,0,-1,1
2019-09-20,0.4179232344778499,0.22978601,1,0,1,0,1,1
2019-09-23,0.7400134313545939,0.19862995,1,0,1,0,1,1
2019-09-24,0.07668450655017137,0.0848842,1,0,1,0,1,1
2019-09-25,-0.14073448339811978,-0.008842983,0,-1,0,-1,-1,-1
2019-09-26,-0.29210716797692654,0.029836792,0,-1,1,0,-1,1
2019-09-27,-0.012858401119948237,0.11322938,0,-1,1,0,-1,1
2019-09-30,0.5434095202858931,0.14673366,1,0,1,0,1,1
2019-10-01,-0.07357843966285296,0.10080353,0,-1,1,0,-1,1
2019-10-10,-0.39363169634304734,0.06726572,0,-1,1,0,-1,1
2019-10-11,-0.052633634969900873,0.10781609,0,-1,1,0,-1,1
2019-10-14,1.499135950958867,0.13171414,1,0,1,0,1,1
2019-10-15,0.3010061928232625,-0.040991187,1,0,0,-1,1,-1
2019-10-16,-0.29325715371831484,-0.29953387,0,-1,0,-1,-1,-1
2019-10-17,-0.5745387555122923,-0.07830989,0,-1,0,-1,-1,-1
2019-10-18,-0.11408989310761507,0.17641519,0,-1,1,0,-1,1
2019-10-21,0.29239642541365946,0.26871598,1,0,1,0,1,1
2019-10-22,0.05599219243968092,0.24972817,1,0,1,0,1,1
2019-10-23,1.1329899401939303,0.2297743,1,0,1,0,1,1
2019-10-24,-0.48955109444998485,-0.035044197,0,-1,0,-1,-1,-1
2019-10-25,0.08891184510680208,-0.070097566,1,0,0,-1,1,-1
2019-10-28,-0.1529868949013455,0.00927826,0,-1,1,0,-1,1
2019-10-29,0.40582446241688674,0.09803487,1,0,1,0,1,1
2019-10-30,-0.04962637072677516,0.090322286,0,-1,1,0,-1,1
2019-10-31,-0.07930711354005478,0.12058853,0,-1,1,0,-1,1
2019-11-07,-0.29159763274345,0.16326493,0,-1,1,0,-1,1
2019-11-08,0.8889859734111331,0.1591624,1,0,1,0,1,1
2019-11-11,-0.16609627064877444,0.042656172,0,-1,1,0,-1,1
2019-11-12,-0.14623835050691825,0.009693425,0,-1,1,0,-1,1
2019-11-13,1.0215882856542575,0.060845,1,0,1,0,1,1
2019-11-14,-0.5781061015601477,-0.15472198,0,-1,0,-1,-1,-1
2019-11-15,-0.20023444740522733,-0.04315123,0,-1,0,-1,-1,-1
2019-11-18,0.44874701153487556,0.09695055,1,0,1,0,1,1
2019-11-19,0.40201531135980995,0.13547395,1,0,1,0,1,1
2019-11-20,0.19031628042448812,0.121017866,1,0,1,0,1,1
2019-11-21,-0.33208427553654873,0.03533662,0,-1,1,0,-1,1
2019-11-22,-0.016616598133713013,0.07459872,0,-1,1,0,-1,1
2019-11-25,0.05859629562909902,0.07216334,1,0,1,0,1,1
2019-11-26,0.4922477569446808,0.096678376,1,0,1,0,1,1
2019-11-27,-0.3262222200516495,0.023600224,0,-1,1,0,-1,1
2019-11-29,0.04778299001767668,0.08017262,1,0,1,0,1,1
2019-12-02,-0.05224410306993678,0.15545642,0,-1,1,0,-1,1
2019-12-03,0.037051645978206184,0.16024715,1,0,1,0,1,1
2019-12-04,0.08296024966880759,0.16562195,1,0,1,0,1,1
2019-12-05,0.2108111663934115,0.15647803,1,0,1,0,1,1
2019-12-06,-0.5308352424519631,0.097345844,0,-1,1,0,-1,1
2019-12-09,0.7203835366767187,0.13704792,1,0,1,0,1,1
2019-12-10,0.24090508203532682,0.084414974,1,0,1,0,1,1
2019-12-11,-0.2649639365567197,0.060762685,0,-1,1,0,-1,1
2019-12-12,-0.11506158960445047,0.11521711,0,-1,1,0,-1,1
2019-12-13,-0.3461479559946597,0.17545497,0,-1,1,0,-1,1
2019-12-16,2.1654408667511507,0.2429839,1,0,1,0,1,1
2019-12-17,-0.2443570343855242,-0.03745872,0,-1,0,-1,-1,-1
2019-12-18,-0.41112484275605743,-0.07153602,0,-1,0,-1,-1,-1
2019-12-19,0.8437814220348989,-0.03436468,1,0,0,-1,1,-1
