,Call Volume,Put Volume,Total Volume,Percent of Put,Put signals,Percent of calls,Call signals,Option rVol,option rvol delta,Close,Volume,Name,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal,rvol,rvol SD,rvol signal,daily returns,volume delta,bb std delta,rvol delta,Option rVol SD,Option rVol signal
2019-05-24,0.0,0.0,0.0,,False,,False,0.0,,113.83999633789062,484600,MTUM,113.58449859619141,0.7962969528224705,114.38079554901388,112.78820164336894,0.0,0.0,0.0,0.6295182483648244,1.2232827443766825,0.0,0.0014955412306125737,-0.31813704798086395,-0.011104290442498388,-0.31469139441939054,0.7891063304065729,0.0
2019-05-28,16.0,21.0,37.0,0.5675675675675675,False,0.43243243243243246,False,3.0,inf,112.9000015258789,2186200,MTUM,113.53049850463867,0.8046404862504792,114.33513899088915,112.7258580183882,0.0,0.0,0.0,2.5477662469335787,1.3761967808359894,1.0,-0.008257157785052094,3.5113495666529095,0.010477917061512132,3.0471682172064263,1.882393121902549,1.0
2019-05-29,1.0,5.0,6.0,0.8333333333333334,True,0.16666666666666666,False,0.41860465116279066,-0.8604651162790697,112.18000030517578,3204400,MTUM,113.40399856567383,0.8083140025586435,114.21231256823248,112.59568456311519,1.0,0.0,1.0,3.2847616948648692,1.5764046403371221,1.0,-0.006377335792489669,0.46573963955722264,0.004565413213648117,0.2892712189818505,2.839372828846411,1.0
2019-05-30,1.0,5.0,6.0,0.8333333333333334,True,0.16666666666666666,False,0.3673469387755102,-0.12244897959183665,113.04000091552734,1111100,MTUM,113.36449851989747,0.8056990897999544,114.17019760969742,112.55879943009751,0.0,0.0,0.0,1.1869521789989264,1.4868328654646623,0.0,0.007666256088536327,-0.6532580202221945,-0.0032350209824546505,-0.6386489221259151,2.8719522396867925,0.0
2019-05-31,0.0,24.0,24.0,1.0,True,0.0,False,2.0,4.444444444444444,112.19000244140625,1119400,MTUM,113.28499870300293,0.8402463798412193,114.12524508284415,112.44475232316171,1.0,0.0,1.0,1.177671169465135,1.4926864135610969,0.0,-0.007519448577820498,0.007470074700747009,0.04287865094875887,-0.00781919414952248,2.490057825565431,0.0
2019-06-03,1.0,0.0,1.0,0.0,False,1.0,True,0.0967741935483871,-0.9516129032258065,111.43000030517578,1166600,MTUM,113.12699890136719,0.878185542091366,114.00518444345856,112.24881335927581,1.0,0.0,1.0,1.1844797213944491,1.5147188861193428,0.0,-0.006774241195220521,0.04216544577452197,0.045152425717461586,0.005781369286985694,1.1854375364916012,0.0
2019-06-04,2.0,0.0,2.0,0.0,False,1.0,True,0.2222222222222222,1.2962962962962963,113.5999984741211,757900,MTUM,113.08099899291992,0.8237894830831765,113.90478847600309,112.25720950983674,0.0,0.0,0.0,0.7626743413770202,1.514438592248492,0.0,0.0194740928206254,-0.3503343048174181,-0.061941419439276335,-0.3561102587056968,1.1624023989917436,0.0
2019-06-05,63.0,140.0,203.0,0.6896551724137931,True,0.3103448275862069,False,2.9563106796116503,12.303398058252426,115.51000213623047,2331200,MTUM,113.21449928283691,0.9835349933210749,114.19803427615798,112.23096428951584,0.0,-1.0,-1.0,2.1879854146819904,1.583283522952104,1.0,0.01681341274440684,2.0758675286977173,0.19391545233136842,1.868833125723817,1.7444658306694754,1.0
2019-06-06,254.0,8.0,262.0,0.030534351145038167,False,0.9694656488549618,True,1.683083511777302,-0.43068111095874506,116.41000366210938,1091200,MTUM,113.39649963378906,1.2081012432501528,114.60460087703922,112.18839839053891,0.0,-1.0,-1.0,1.0231214956776118,1.561633302543108,0.0,0.007791546266421756,-0.5319148936170213,0.22832563300141606,-0.5323910804833606,1.7040809223903457,0.0
2019-06-07,14.0,12.0,26.0,0.46153846153846156,False,0.5384615384615384,False,0.15885947046843177,-0.9056140296326238,117.91999816894531,1141200,MTUM,113.66249961853028,1.5583927065286656,115.22089232505894,112.10410691200161,0.0,-1.0,-1.0,1.0552596537949401,1.5585008190657401,0.0,0.01297134661398025,0.04582111436950154,0.28995207581785465,0.03141186873025603,1.7538480073399836,0.0
2019-06-10,7.0,70.0,77.0,0.9090909090909091,True,0.09090909090909091,False,0.6328767123287671,2.9838777660695466,118.16999816894531,1636200,MTUM,113.89299964904785,1.8551152603687269,115.74811490941657,112.03788438867913,0.0,-1.0,-1.0,1.4706556470857883,1.5652925563495457,0.0,0.0021200814440467397,0.4337539432176656,0.19040294054058648,0.39364339553492367,1.3078243758302877,0.0
2019-06-11,15.0,135.0,150.0,0.9,True,0.1,False,1.7786561264822136,1.8104306760433246,117.7300033569336,646800,MTUM,114.18849983215333,1.9743947964885327,116.16289462864187,112.21410503566479,0.0,-1.0,-1.0,0.5924216195422196,1.5317610178317607,0.0,-0.0037234054229455804,-0.6046938027136046,0.06429764159025764,-0.5971717643649985,1.2591109048363438,0.0
2019-06-12,0.0,0.0,0.0,,False,,False,0.0,-1.0,118.05999755859375,693500,MTUM,114.47149963378907,2.105812159056718,116.57731179284578,112.36568747473235,0.0,-1.0,-1.0,0.6344835157797468,1.5239136644281235,0.0,0.0028029745370827808,0.07220160791589358,0.06656083312309735,0.0709999345905532,1.1468634674886349,0.0
2019-06-13,40.0,0.0,40.0,0.0,False,1.0,True,0.631578947368421,inf,118.26000213623047,626700,MTUM,114.7404998779297,2.2316750953478084,116.9721749732775,112.50882478258188,0.0,-1.0,-1.0,0.5738879604404661,1.5152548331963556,0.0,0.0016940926797619493,-0.09632299927901944,0.05976930836389038,-0.09550375042417292,0.6157892390615299,0.0
2019-06-14,4.0,1.0,5.0,0.2,False,0.8,True,0.3333333333333333,-0.4722222222222222,118.02999877929688,312400,MTUM,114.93549995422363,2.343127575487476,117.2786275297111,112.59237237873616,0.0,-1.0,-1.0,0.28850460600743427,1.506057602471799,0.0,-0.0019448955925828182,-0.501515876815063,0.049941176639916485,-0.4972806089432449,0.5913385453967399,0.0
2019-06-17,3.0,0.0,3.0,0.0,False,1.0,True,0.1875,-0.4375,117.48999786376953,849400,MTUM,115.11949996948242,2.394030665065325,117.51353063454775,112.72546930441709,0.0,0.0,0.0,0.7809569342797249,1.4976602324706758,0.0,-0.0045751158274354164,1.7189500640204867,0.02172442085969606,1.7069132277895105,0.6714140884955744,0.0
2019-06-18,34.0,0.0,34.0,0.0,False,1.0,True,2.4285714285714284,11.95238095238095,118.37999725341797,1027200,MTUM,115.36699981689453,2.4649926189029037,117.83199243579743,112.90200719799164,0.0,-1.0,-1.0,0.9236081139404402,1.5064445437597267,0.0,0.007575107718364338,0.20932422886743574,0.029641205049327324,0.1826620308996707,0.8309667652402868,0.0
2019-06-19,1.0,0.0,1.0,0.0,False,1.0,True,0.07894736842105264,-0.9674922600619195,119.2300033569336,816900,MTUM,115.62449989318847,2.5893292198096747,118.21382911299814,113.0351706733788,0.0,-1.0,-1.0,0.7328429173768727,1.4963390196752653,0.0,0.007180318662248331,-0.204731308411215,0.05044096276527976,-0.20654343945690934,0.8620742938531383,0.0
